category,description
"Accessories","A diverse range of accessory products, including jewelry, hats, sunglasses, and more."
"Art & Decor","Artwork, decorations, paintings, and other decorative art items to beautify your home."
"Bath & Personal Care","Personal care products such as soap, shampoo, skincare products, and bathing essentials."
"Cameras & Photography","Cameras, photography equipment, camera accessories, and related photography products."
"Computers & Accessories","Computer devices, laptops, computer accessories, and other computer hardware."
"Electronics","Electronic products such as mobile phones, televisions, audio devices, and household electronic appliances."
"Fashion","Clothing, footwear, fashion accessories, and other fashion-related products."
"Food & Beverages","Food, beverages, snacks, and other food-related products."
"Furniture","Furniture for homes and offices, including sofas, tables, chairs, and other furnishings."
"Health & Wellness","Health and fitness products, supplements, and personal health equipment."
"Home & Living","Products to beautify your home, including home textiles, kitchenware, and more."
"Kitchen & Dining","Kitchen equipment, dining utensils, and related kitchen and dining products."
"Music & Entertainment","Musical instruments, music recordings, books, movies, and other entertainment products."
"Office & Stationery","Office supplies, stationery, and other office-related equipment."
